@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,92283,0,3138,0,1,1,0.967114,1,0.032886,0.983282,1,1,0
1,92283,0,3120,18,0.994264,1,0.967297,1,0.032703,0.983376,0.999811,1.000189,0
2,92283,0,3097,41,0.986934,1,0.96753,1,0.03247,0.983497,0.99957,1.00043,0
3,92283,0,3073,65,0.979286,1,0.967773,1,0.032227,0.983623,0.999319,1.000682,0
4,92283,0,3046,92,0.970682,1,0.968047,1,0.031953,0.983764,0.999036,1.000965,0
5,92283,0,3015,123,0.960803,1,0.968362,1,0.031638,0.983927,0.998711,1.001291,0
6,92283,0,3005,133,0.957616,1,0.968464,1,0.031536,0.983979,0.998606,1.001396,0
7,92283,0,2993,145,0.953792,1,0.968586,1,0.031414,0.984042,0.99848,1.001522,0
8,92283,0,2978,160,0.949012,1,0.968739,1,0.031261,0.984121,0.998323,1.00168,0
9,92283,0,2960,178,0.943276,1,0.968922,1,0.031078,0.984216,0.998135,1.001869,0
10,92283,0,2941,197,0.937221,1,0.969115,1,0.030885,0.984315,0.997935,1.002069,0
11,92283,0,2940,198,0.936902,1,0.969125,1,0.030875,0.984321,0.997925,1.002079,0
12,92283,0,2936,202,0.935628,1,0.969166,1,0.030834,0.984342,0.997883,1.002121,0
13,92283,0,2931,207,0.934034,1,0.969217,1,0.030783,0.984368,0.997831,1.002174,0
14,92283,0,2927,211,0.93276,1,0.969257,1,0.030743,0.984389,0.997789,1.002216,0
15,92283,0,2902,236,0.924793,1,0.969512,1,0.030488,0.98452,0.997527,1.002479,0
16,92283,0,2893,245,0.921925,1,0.969604,1,0.030396,0.984567,0.997432,1.002574,0
17,92283,0,2885,253,0.919375,1,0.969685,1,0.030315,0.984609,0.997349,1.002658,0
18,92283,0,2872,266,0.915233,1,0.969818,1,0.030182,0.984678,0.997212,1.002795,0
19,92283,0,2846,292,0.906947,1,0.970083,1,0.029917,0.984814,0.99694,1.00307,0
20,92283,0,2824,314,0.899936,1,0.970307,1,0.029693,0.98493,0.996709,1.003302,0
21,92283,0,2800,338,0.892288,1,0.970552,1,0.029448,0.985056,0.996458,1.003555,0
22,92283,0,2797,341,0.891332,1,0.970583,1,0.029417,0.985072,0.996426,1.003586,0
23,92283,0,2785,353,0.887508,1,0.970705,1,0.029295,0.985135,0.996301,1.003713,0
24,92282,1,2769,369,0.882409,0.999989,0.970868,0.999989,0.029132,0.985214,0.996122,1.003882,0
25,92282,1,2764,374,0.880816,0.999989,0.970919,0.999989,0.029081,0.98524,0.99607,1.003935,0.000001
26,92282,1,2755,383,0.877948,0.999989,0.971011,0.999989,0.028989,0.985287,0.995976,1.00403,0.000001
27,92282,1,2745,393,0.874761,0.999989,0.971113,0.999989,0.028887,0.98534,0.995871,1.004135,0.000001
28,92282,1,2730,408,0.869981,0.999989,0.971267,0.999989,0.028733,0.985419,0.995714,1.004294,0.000001
29,92282,1,2718,420,0.866157,0.999989,0.971389,0.999989,0.028611,0.985482,0.995588,1.004421,0.000001
30,92282,1,2704,434,0.861695,0.999989,0.971533,0.999989,0.028467,0.985556,0.995441,1.004569,0.000001
31,92282,1,2697,441,0.859465,0.999989,0.971604,0.999989,0.028396,0.985592,0.995368,1.004643,0.000001
32,92282,1,2692,446,0.857871,0.999989,0.971655,0.999989,0.028345,0.985619,0.995315,1.004696,0.000001
33,92282,1,2683,455,0.855003,0.999989,0.971747,0.999989,0.028253,0.985666,0.995221,1.004791,0.000001
34,92282,1,2680,458,0.854047,0.999989,0.971778,0.999989,0.028222,0.985682,0.99519,1.004823,0.000001
35,92282,1,2666,472,0.849586,0.999989,0.971921,0.999989,0.028079,0.985756,0.995043,1.004971,0.000001
36,92282,1,2656,482,0.846399,0.999989,0.972024,0.999989,0.027976,0.985808,0.994938,1.005077,0.000001
37,92282,1,2645,493,0.842894,0.999989,0.972136,0.999989,0.027864,0.985866,0.994823,1.005193,0.000001
38,92282,1,2639,499,0.840982,0.999989,0.972198,0.999989,0.027802,0.985898,0.99476,1.005257,0.000001
39,92282,1,2623,515,0.835883,0.999989,0.972362,0.999989,0.027638,0.985982,0.994592,1.005426,0.000001
40,92281,2,2590,548,0.825366,0.999978,0.9727,0.999978,0.0273,0.98615,0.994236,1.005776,0.000001
41,92281,2,2582,556,0.822817,0.999978,0.972782,0.999978,0.027218,0.986193,0.994152,1.00586,0.000001
42,92281,2,2580,558,0.82218,0.999978,0.972802,0.999978,0.027198,0.986203,0.994131,1.005882,0.000001
43,92281,2,2578,560,0.821542,0.999978,0.972823,0.999978,0.027177,0.986214,0.99411,1.005903,0.000001
44,92280,3,2558,580,0.815169,0.999967,0.973028,0.999967,0.026972,0.986314,0.99389,1.006115,0.000001
45,92280,3,2554,584,0.813894,0.999967,0.973069,0.999967,0.026931,0.986335,0.993848,1.006157,0.000001
46,92280,3,2524,614,0.804334,0.999967,0.973377,0.999967,0.026623,0.986493,0.993534,1.006475,0.000001
47,92280,3,2516,622,0.801785,0.999967,0.973459,0.999967,0.026541,0.986535,0.99345,1.00656,0.000001
48,92280,3,2506,632,0.798598,0.999967,0.973561,0.999967,0.026439,0.986588,0.993345,1.006667,0.000001
49,92280,3,2489,649,0.79318,0.999967,0.973736,0.999967,0.026264,0.986678,0.993167,1.006847,0.000001
50,92280,3,2488,650,0.792862,0.999967,0.973746,0.999967,0.026254,0.986683,0.993157,1.006858,0.000001
51,92280,3,2466,672,0.785851,0.999967,0.973973,0.999967,0.026027,0.986799,0.992926,1.007092,0.000001
52,92280,3,2462,676,0.784576,0.999967,0.974014,0.999967,0.025986,0.98682,0.992884,1.007134,0.000001
53,92280,3,2428,710,0.773741,0.999967,0.974363,0.999967,0.025637,0.986999,0.992528,1.007496,0.000001
