fpr,tpr
1,1
0.994264,1
0.986934,1
0.979286,1
0.970682,1
0.960803,1
0.957616,1
0.953792,1
0.949012,1
0.943276,1
0.937221,1
0.936902,1
0.935628,1
0.934034,1
0.93276,1
0.924793,1
0.921925,1
0.919375,1
0.915233,1
0.906947,1
0.899936,1
0.892288,1
0.891332,1
0.887508,1
0.882409,0.999989
0.880816,0.999989
0.877948,0.999989
0.874761,0.999989
0.869981,0.999989
0.866157,0.999989
0.861695,0.999989
0.859465,0.999989
0.857871,0.999989
0.855003,0.999989
0.854047,0.999989
0.849586,0.999989
0.846399,0.999989
0.842894,0.999989
0.840982,0.999989
0.835883,0.999989
0.825366,0.999978
0.822817,0.999978
0.82218,0.999978
0.821542,0.999978
0.815169,0.999967
0.813894,0.999967
0.804334,0.999967
0.801785,0.999967
0.798598,0.999967
0.79318,0.999967
0.792862,0.999967
0.785851,0.999967
0.784576,0.999967
0.773741,0.999967
0.771511,0.999967
0.762906,0.999967
0.760357,0.999967
0.747929,0.999935
0.746654,0.999935
0.739962,0.999913
0.738687,0.999913
0.730083,0.999892
0.727852,0.999892
0.717336,0.99987
0.714786,0.99987
0.69471,0.999848
0.68993,0.999816
0.659656,0.999783
0.655513,0.999751
0.655194,0.999751
0.654876,0.999751
0.654557,0.999751
0.654238,0.999751
0.65392,0.999751
0.653601,0.999751
0.653282,0.999751
0.652645,0.999751
0.652008,0.999751
0.651689,0.999751
0.651052,0.999751
0.650733,0.999751
0.650414,0.999751
0.650096,0.999751
0.649777,0.999751
0.649458,0.999751
0.64914,0.999751
0.64914,0.99974
0.648502,0.99974
0.648184,0.99974
0.648184,0.999729
0.647865,0.999729
0.646909,0.999729
0.64659,0.999729
0.64659,0.999718
0.646272,0.999718
0.644997,0.999718
0.643722,0.999718
0.643085,0.999718
0.642447,0.999718
0.642129,0.999718
0.640217,0.999718
0.639898,0.999718
0.639579,0.999718
0.637986,0.999686
0.637986,0.999675
0.637667,0.999675
0.63703,0.999675
0.636711,0.999675
0.636393,0.999653
0.634799,0.999642
0.634162,0.999642
0.633843,0.999642
0.633525,0.999642
0.633206,0.999642
0.632887,0.999642
0.632569,0.999642
0.63225,0.999642
0.631931,0.999642
0.631612,0.999642
0.631612,0.999632
0.631294,0.999632
0.630975,0.999632
0.629063,0.999621
0.628744,0.999621
0.628426,0.999621
0.627788,0.999621
0.623964,0.999621
0.623646,0.999621
0.623327,0.999621
0.623008,0.999621
0.622052,0.999621
0.62014,0.99961
0.619822,0.99961
0.619503,0.99961
0.619184,0.99961
0.618866,0.99961
0.618547,0.999599
0.618228,0.999599
0.617909,0.999599
0.617591,0.999599
0.617272,0.999599
0.616635,0.999588
0.616635,0.999577
0.615997,0.999577
0.615679,0.999577
0.61536,0.999577
0.614723,0.999577
0.614404,0.999577
0.613767,0.999556
0.613129,0.999545
0.612811,0.999545
0.612492,0.999545
0.611855,0.999545
0.611536,0.999545
0.611217,0.999545
0.610261,0.999545
0.609943,0.999545
0.609624,0.999534
0.609624,0.999523
0.608987,0.999523
0.608668,0.999523
0.608668,0.999512
0.608349,0.999512
0.607393,0.999512
0.6058,0.999502
0.605481,0.999502
0.605481,0.999491
0.605163,0.999491
0.604844,0.999491
0.604525,0.999491
0.604207,0.999491
0.603888,0.999491
0.603888,0.99948
0.60325,0.99948
0.60325,0.999469
0.602932,0.999458
0.602613,0.999458
0.601976,0.999458
0.601657,0.999458
0.600382,0.999437
0.599426,0.999426
0.598789,0.999426
0.59847,0.999426
0.598152,0.999426
0.597833,0.999426
0.597514,0.999426
0.597196,0.999426
0.596877,0.999426
0.596877,0.999415
0.596558,0.999415
0.59624,0.999415
0.595602,0.999415
0.595284,0.999415
0.594965,0.999415
0.594328,0.999415
0.594009,0.999415
0.59369,0.999415
0.590504,0.999382
0.58891,0.999361
0.587954,0.99935
0.587635,0.99935
0.587317,0.99935
0.586998,0.99935
0.586679,0.99935
0.586361,0.99935
0.586042,0.99935
0.585723,0.99935
0.583493,0.999328
0.583174,0.999328
0.582855,0.999328
0.582537,0.999328
0.582218,0.999328
0.582218,0.999317
0.581899,0.999317
0.581581,0.999317
0.581581,0.999306
0.581262,0.999306
0.580943,0.999306
0.580943,0.999296
0.580625,0.999296
0.580306,0.999296
0.579669,0.999296
0.57935,0.999296
0.579031,0.999296
0.578713,0.999296
0.578394,0.999296
0.578075,0.999296
0.577757,0.999296
0.577438,0.999296
0.577119,0.999296
0.576801,0.999296
0.576482,0.999296
0.574888,0.999285
0.57457,0.999285
0.57457,0.999263
0.57457,0.999252
0.574251,0.999252
0.573932,0.999252
0.573932,0.999241
0.572658,0.999231
0.572339,0.999231
0.572339,0.99922
0.57202,0.99922
0.571702,0.99922
0.571383,0.99922
0.570746,0.99922
0.570427,0.99922
0.570108,0.99922
0.56979,0.99922
0.569471,0.999198
0.569152,0.999198
0.568834,0.999198
0.565647,0.999166
0.562779,0.999166
0.56246,0.999166
0.560867,0.999144
0.560548,0.999144
0.559911,0.999144
0.558955,0.999144
0.558636,0.999144
0.558317,0.999144
0.557999,0.999144
0.553856,0.999122
0.553219,0.999122
0.5529,0.999122
0.552581,0.999122
0.552263,0.999122
0.549713,0.99909
0.549395,0.99909
0.549395,0.999079
0.549076,0.999079
0.547482,0.999079
0.545252,0.999079
0.544933,0.999057
0.544933,0.999036
0.541746,0.999003
0.541428,0.999003
0.541109,0.999003
0.54079,0.999003
0.540472,0.999003
0.540153,0.999003
0.536966,0.998971
0.536966,0.99896
0.536648,0.99896
0.536329,0.99896
0.53601,0.99896
0.534098,0.99896
0.532186,0.998938
0.528681,0.998916
0.528362,0.998916
0.528362,0.998906
0.528362,0.998895
0.528043,0.998895
0.525813,0.998862
0.525494,0.998862
0.525175,0.998862
0.524857,0.998862
0.524538,0.998862
0.524219,0.998862
0.522626,0.998851
0.519439,0.99883
0.516571,0.99883
0.514978,0.99883
0.514978,0.998819
0.514659,0.998819
0.51434,0.998819
0.514022,0.998819
0.513703,0.998819
0.512747,0.998819
0.512747,0.998808
0.512747,0.998797
0.51211,0.998797
0.511791,0.998797
0.508286,0.998786
0.507967,0.998786
0.507648,0.998776
0.504143,0.998754
0.503505,0.998743
