@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,3138,0,92283,0,1,1,0.032886,1,0.967114,0.063678,1,1,0.000005
1,3138,0,92281,2,0.999978,1,0.032887,1,0.967113,0.063679,0.999979,1.000021,0.000005
2,3138,0,92280,3,0.999967,1,0.032887,1,0.967113,0.06368,0.999969,1.000031,0.000005
3,3138,0,92278,5,0.999946,1,0.032888,1,0.967112,0.063681,0.999948,1.000052,0.000006
4,3138,0,92277,6,0.999935,1,0.032888,1,0.967112,0.063681,0.999937,1.000063,0.000006
5,3138,0,92276,7,0.999924,1,0.032888,1,0.967112,0.063682,0.999927,1.000073,0.000006
6,3138,0,92275,8,0.999913,1,0.032889,1,0.967111,0.063683,0.999916,1.000084,0.000006
7,3138,0,92274,9,0.999902,1,0.032889,1,0.967111,0.063683,0.999906,1.000094,0.000006
8,3138,0,92273,10,0.999892,1,0.032889,1,0.967111,0.063684,0.999895,1.000105,0.000006
9,3138,0,92262,21,0.999772,1,0.032893,1,0.967107,0.063691,0.99978,1.00022,0.000006
10,3138,0,92261,22,0.999762,1,0.032893,1,0.967107,0.063692,0.999769,1.000231,0.000006
11,3138,0,92254,29,0.999686,1,0.032896,1,0.967104,0.063696,0.999696,1.000304,0.000007
12,3138,0,92244,39,0.999577,1,0.032899,1,0.967101,0.063703,0.999591,1.000409,0.000007
13,3138,0,92230,53,0.999426,1,0.032904,1,0.967096,0.063712,0.999445,1.000556,0.000007
14,3138,0,92229,54,0.999415,1,0.032904,1,0.967096,0.063713,0.999434,1.000566,0.000007
15,3138,0,92219,64,0.999306,1,0.032908,1,0.967092,0.063719,0.999329,1.000671,0.000007
16,3138,0,92218,65,0.999296,1,0.032908,1,0.967092,0.06372,0.999319,1.000682,0.000007
17,3138,0,92217,66,0.999285,1,0.032909,1,0.967091,0.06372,0.999308,1.000692,0.000007
18,3138,0,92215,68,0.999263,1,0.032909,1,0.967091,0.063722,0.999287,1.000713,0.000008
19,3138,0,92212,71,0.999231,1,0.03291,1,0.96709,0.063723,0.999256,1.000745,0.000008
20,3138,0,92211,72,0.99922,1,0.032911,1,0.967089,0.063724,0.999245,1.000755,0.000009
21,3138,0,92210,73,0.999209,1,0.032911,1,0.967089,0.063725,0.999235,1.000766,0.000009
22,3138,0,92209,74,0.999198,1,0.032911,1,0.967089,0.063725,0.999224,1.000776,0.000009
23,3138,0,92208,75,0.999187,1,0.032912,1,0.967088,0.063726,0.999214,1.000787,0.000009
24,3138,0,92205,78,0.999155,1,0.032913,1,0.967087,0.063728,0.999183,1.000818,0.00001
25,3138,0,92198,85,0.999079,1,0.032915,1,0.967085,0.063733,0.999109,1.000892,0.00001
26,3138,0,92192,91,0.999014,1,0.032917,1,0.967083,0.063736,0.999046,1.000955,0.00001
27,3138,0,92185,98,0.998938,1,0.03292,1,0.96708,0.063741,0.998973,1.001028,0.00001
28,3138,0,92181,102,0.998895,1,0.032921,1,0.967079,0.063744,0.998931,1.00107,0.00001
29,3138,0,92180,103,0.998884,1,0.032921,1,0.967079,0.063744,0.998921,1.001081,0.00001
30,3138,0,92113,170,0.998158,1,0.032945,1,0.967055,0.063788,0.998218,1.001785,0.00001
31,3138,0,92060,223,0.997584,1,0.032963,1,0.967037,0.063822,0.997663,1.002342,0.00001
32,3138,0,91993,290,0.996857,1,0.032986,1,0.967014,0.063866,0.996961,1.003048,0.00001
33,3138,0,91923,360,0.996099,1,0.03301,1,0.96699,0.063911,0.996227,1.003787,0.000011
34,3138,0,91918,365,0.996045,1,0.033012,1,0.966988,0.063914,0.996175,1.00384,0.000011
35,3138,0,91853,430,0.99534,1,0.033035,1,0.966965,0.063957,0.995494,1.004527,0.000011
36,3138,0,91781,502,0.99456,1,0.03306,1,0.96694,0.064004,0.994739,1.005289,0.000011
37,3138,0,91774,509,0.994484,1,0.033062,1,0.966938,0.064008,0.994666,1.005363,0.000011
38,3138,0,91766,517,0.994398,1,0.033065,1,0.966935,0.064013,0.994582,1.005448,0.000011
39,3138,0,91763,520,0.994365,1,0.033066,1,0.966934,0.064015,0.99455,1.005479,0.000011
40,3138,0,91752,531,0.994246,1,0.03307,1,0.96693,0.064023,0.994435,1.005596,0.000011
41,3138,0,91732,551,0.994029,1,0.033077,1,0.966923,0.064036,0.994226,1.005808,0.000011
42,3138,0,91725,558,0.993953,1,0.033079,1,0.966921,0.06404,0.994152,1.005882,0.000011
43,3138,0,91710,573,0.993791,1,0.033085,1,0.966915,0.06405,0.993995,1.006041,0.000012
44,3138,0,91707,576,0.993758,1,0.033086,1,0.966914,0.064052,0.993964,1.006073,0.000012
45,3138,0,91694,589,0.993617,1,0.03309,1,0.96691,0.06406,0.993827,1.006211,0.000012
46,3138,0,91691,592,0.993585,1,0.033091,1,0.966909,0.064062,0.993796,1.006243,0.000012
47,3138,0,91676,607,0.993422,1,0.033096,1,0.966904,0.064072,0.993639,1.006402,0.000013
48,3138,0,91674,609,0.993401,1,0.033097,1,0.966903,0.064074,0.993618,1.006423,0.000013
49,3138,0,91673,610,0.99339,1,0.033097,1,0.966903,0.064074,0.993607,1.006434,0.000013
50,3138,0,91621,662,0.992826,1,0.033116,1,0.966884,0.064108,0.993062,1.006986,0.000013
51,3138,0,91620,663,0.992816,1,0.033116,1,0.966884,0.064109,0.993052,1.006997,0.000013
52,3138,0,91618,665,0.992794,1,0.033117,1,0.966883,0.06411,0.993031,1.007018,0.000013
53,3138,0,91616,667,0.992772,1,0.033117,1,0.966883,0.064111,0.99301,1.007039,0.000013
54,3138,0,91553,730,0.99209,1,0.033139,1,0.966861,0.064153,0.99235,1.007709,0.000013
55,3138,0,91499,784,0.991504,1,0.033158,1,0.966842,0.064188,0.991784,1.008284,0.000013
56,3138,0,91497,786,0.991483,1,0.033159,1,0.966841,0.06419,0.991763,1.008306,0.000013
57,3138,0,91485,798,0.991353,1,0.033163,1,0.966837,0.064197,0.991637,1.008433,0.000013
58,3138,0,91484,799,0.991342,1,0.033164,1,0.966836,0.064198,0.991627,1.008444,0.000014
59,3138,0,91483,800,0.991331,1,0.033164,1,0.966836,0.064199,0.991616,1.008455,0.000014
60,3138,0,91478,805,0.991277,1,0.033166,1,0.966834,0.064202,0.991564,1.008508,0.000014
61,3138,0,91477,806,0.991266,1,0.033166,1,0.966834,0.064203,0.991553,1.008519,0.000014
62,3138,0,91459,824,0.991071,1,0.033172,1,0.966828,0.064214,0.991365,1.008711,0.000014
63,3138,0,91439,844,0.990854,1,0.033179,1,0.966821,0.064228,0.991155,1.008924,0.000014
64,3138,0,91438,845,0.990843,1,0.03318,1,0.96682,0.064228,0.991145,1.008935,0.000014
65,3138,0,91436,847,0.990822,1,0.03318,1,0.96682,0.06423,0.991124,1.008956,0.000014
66,3138,0,91433,850,0.990789,1,0.033181,1,0.966819,0.064232,0.991092,1.008988,0.000014
67,3138,0,91432,851,0.990778,1,0.033182,1,0.966818,0.064232,0.991082,1.008999,0.000015
68,3138,0,91431,852,0.990768,1,0.033182,1,0.966818,0.064233,0.991071,1.009009,0.000015
69,3138,0,91373,910,0.990139,1,0.033202,1,0.966798,0.064271,0.990463,1.009629,0.000015
70,3138,0,91372,911,0.990128,1,0.033203,1,0.966797,0.064272,0.990453,1.009639,0.000015
71,3138,0,91356,927,0.989955,1,0.033208,1,0.966792,0.064282,0.990285,1.00981,0.000015
72,3138,0,91355,928,0.989944,1,0.033209,1,0.966791,0.064283,0.990275,1.009821,0.000015
73,3138,0,91352,931,0.989911,1,0.03321,1,0.96679,0.064285,0.990243,1.009853,0.000015
74,3138,0,91350,933,0.98989,1,0.033211,1,0.966789,0.064286,0.990222,1.009874,0.000016
75,3138,0,91349,934,0.989879,1,0.033211,1,0.966789,0.064287,0.990212,1.009885,0.000016
76,3138,0,91347,936,0.989857,1,0.033212,1,0.966788,0.064288,0.990191,1.009906,0.000016
77,3138,0,91275,1008,0.989077,1,0.033237,1,0.966763,0.064336,0.989436,1.010676,0.000016
78,3138,0,91274,1009,0.989066,1,0.033237,1,0.966763,0.064336,0.989426,1.010687,0.000016
79,3138,0,91272,1011,0.989045,1,0.033238,1,0.966762,0.064338,0.989405,1.010709,0.000016
80,3138,0,91270,1013,0.989023,1,0.033239,1,0.966761,0.064339,0.989384,1.01073,0.000016
81,3138,0,91242,1041,0.988719,1,0.033249,1,0.966751,0.064357,0.98909,1.01103,0.000016
82,3138,0,91241,1042,0.988709,1,0.033249,1,0.966751,0.064358,0.98908,1.011041,0.000016
83,3138,0,91205,1078,0.988319,1,0.033262,1,0.966738,0.064382,0.988703,1.011426,0.000017
84,3138,0,91197,1086,0.988232,1,0.033264,1,0.966736,0.064387,0.988619,1.011512,0.000017
85,3138,0,91181,1102,0.988058,1,0.03327,1,0.96673,0.064398,0.988451,1.011684,0.000017
86,3138,0,91148,1135,0.987701,1,0.033282,1,0.966718,0.064419,0.988105,1.012038,0.000017
87,3138,0,91146,1137,0.987679,1,0.033282,1,0.966718,0.064421,0.988084,1.012059,0.000017
88,3138,0,91143,1140,0.987647,1,0.033283,1,0.966717,0.064423,0.988053,1.012092,0.000017
89,3138,0,91142,1141,0.987636,1,0.033284,1,0.966716,0.064423,0.988042,1.012102,0.000017
90,3138,0,91127,1156,0.987473,1,0.033289,1,0.966711,0.064433,0.987885,1.012263,0.000017
