fpr,tpr
1,1
0.999989,1
0.999978,1
0.999881,1
0.99987,1
0.999859,1
0.999848,1
0.999837,1
0.999751,1
0.99974,1
0.999729,1
0.999718,1
0.999707,1
0.999697,1
0.999686,1
0.999675,1
0.999664,1
0.999653,1
0.999567,1
0.999556,1
0.999534,1
0.999523,1
0.999458,1
0.999447,1
0.999437,1
0.999426,1
0.999415,1
0.999404,1
0.999382,1
0.999339,1
0.999317,1
0.999306,1
0.999209,1
0.999198,1
0.999176,1
0.999079,1
0.999068,1
0.999057,1
0.999046,1
0.999025,1
0.999014,1
0.999003,1
0.998981,1
0.998971,1
0.99896,1
0.998949,1
0.998938,1
0.998927,1
0.998916,1
0.998906,1
0.998895,1
0.998884,1
0.998873,1
0.998862,1
0.99883,1
0.998591,1
0.998548,1
0.998526,1
0.998505,1
0.998494,1
0.998483,1
0.998472,1
0.99844,1
0.998418,1
0.998407,1
0.998396,1
0.998364,1
0.998353,1
0.998342,1
0.99832,1
0.99831,1
0.998277,1
0.998266,1
0.998201,1
0.99819,1
0.99818,1
0.998169,1
0.998158,1
0.99806,1
0.998049,1
0.998039,1
0.998028,1
0.998006,1
0.997995,1
0.997779,1
0.997768,1
0.997746,1
0.997735,1
0.997724,1
0.997714,1
0.997703,1
0.997638,1
0.997616,1
0.997605,1
0.997594,1
0.997584,1
0.997573,1
0.997562,1
0.997551,1
0.99754,1
0.997529,1
0.997508,1
0.997486,1
0.997345,1
0.997334,1
0.997323,1
0.997313,1
0.997302,1
0.997269,1
0.997258,1
0.997248,1
0.997161,1
0.99715,1
0.997139,1
0.997128,1
0.997118,1
0.997107,1
0.997096,1
0.997085,1
0.997074,1
0.997063,1
0.997042,1
0.997031,1
0.99702,1
0.997009,1
0.996998,1
0.996988,1
0.996977,1
0.996966,1
0.996912,1
0.996901,1
0.996825,1
0.99676,1
0.996749,1
0.996738,1
0.996727,1
0.996706,1
0.996684,1
0.996662,1
0.996619,1
0.996608,1
0.996597,1
0.996587,1
0.996413,1
0.996359,1
0.996348,1
0.996337,1
0.996327,1
0.996316,1
0.996305,1
0.996294,1
0.996283,1
0.996272,1
0.996251,1
0.99624,1
0.996229,1
0.996218,1
0.996207,1
0.996186,1
0.996175,1
0.996164,1
0.996153,1
0.99611,1
0.996066,1
0.996045,1
0.996012,1
0.996001,1
0.99598,1
0.995969,1
0.995958,1
0.995947,1
0.995936,1
0.995926,1
0.995806,1
0.995796,1
0.995774,1
0.995741,1
0.995731,1
0.99572,1
0.995709,1
0.995655,1
0.99533,1
0.995319,1
0.995297,1
0.995286,1
0.995275,1
0.995265,1
0.995243,1
0.995232,1
0.99313,1
0.993119,1
0.99287,1
0.992848,1
0.992837,1
0.992826,1
0.992805,1
0.992794,1
0.99274,1
0.992686,1
0.992588,1
0.992577,1
0.992566,1
0.992556,1
0.992512,1
0.992501,1
0.99249,1
0.99248,1
0.992469,1
0.992458,1
0.992447,1
0.992436,1
0.992415,1
0.992404,1
0.992393,1
0.992382,1
0.992371,1
0.99235,1
0.99222,1
0.992209,1
0.992187,1
0.992165,1
0.992133,1
0.992122,1
0.992057,1
0.992035,1
0.992014,1
0.991992,1
0.991981,1
0.99196,1
0.991884,1
0.991873,1
0.991862,1
0.991851,1
0.99184,1
0.991829,1
0.991819,1
0.991786,1
0.991775,1
0.991764,1
0.991678,1
0.991461,1
0.99145,1
0.991439,1
0.991429,1
0.991418,1
0.991407,1
0.991396,1
0.991385,1
0.991374,1
0.991364,1
0.991353,1
0.991299,1
0.991288,1
0.991244,1
0.991212,1
0.99119,1
0.991179,1
0.991168,1
0.991158,1
0.991147,1
0.991136,1
0.991136,0.999681
0.991125,0.999681
0.991114,0.999681
0.990096,0.999681
0.989976,0.999681
0.989911,0.999681
0.98989,0.999681
0.989879,0.999681
0.989846,0.999681
0.989836,0.999681
0.989814,0.999681
0.98976,0.999681
0.989716,0.999681
0.989706,0.999681
0.989673,0.999681
0.989662,0.999681
0.98963,0.999681
0.989608,0.999681
0.989597,0.999681
0.9895,0.999681
0.989359,0.999681
0.989348,0.999681
0.989326,0.999681
0.989196,0.999681
0.989185,0.999681
0.988264,0.999681
