@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,92349,0,3138,0,1,1,0.967137,1,0.032863,0.983294,1,1,0
1,92348,1,3138,0,1,0.999989,0.967137,0.999989,0.032863,0.983289,0.99999,1,0
2,92348,1,3133,5,0.998407,0.999989,0.967187,0.999989,0.032813,0.983315,0.999937,1.000052,0
3,92348,1,3127,11,0.996495,0.999989,0.967248,0.999989,0.032752,0.983346,0.999874,1.000115,0
4,92348,1,3124,14,0.995539,0.999989,0.967278,0.999989,0.032722,0.983362,0.999843,1.000146,0
5,92348,1,3120,18,0.994264,0.999989,0.967319,0.999989,0.032681,0.983383,0.999801,1.000188,0
6,92348,1,3116,22,0.992989,0.999989,0.967359,0.999989,0.032641,0.983404,0.999759,1.00023,0
7,92348,1,3100,38,0.98789,0.999989,0.967522,0.999989,0.032478,0.983487,0.999592,1.000398,0
8,92348,1,3089,49,0.984385,0.999989,0.967633,0.999989,0.032367,0.983545,0.999476,1.000513,0
9,92348,1,3081,57,0.981836,0.999989,0.967714,0.999989,0.032286,0.983587,0.999393,1.000597,0
10,92348,1,3074,64,0.979605,0.999989,0.967785,0.999989,0.032215,0.983624,0.999319,1.00067,0
11,92348,1,3043,95,0.969726,0.999989,0.9681,0.999989,0.0319,0.983786,0.998995,1.000996,0
12,92348,1,3035,103,0.967177,0.999989,0.968181,0.999989,0.031819,0.983828,0.998911,1.00108,0
13,92347,2,3032,106,0.966221,0.999978,0.968211,0.999978,0.031789,0.983838,0.998869,1.001111,0
14,92347,2,3031,107,0.965902,0.999978,0.968221,0.999978,0.031779,0.983844,0.998858,1.001121,0
15,92347,2,3027,111,0.964627,0.999978,0.968262,0.999978,0.031738,0.983865,0.998817,1.001163,0
16,92347,2,3014,124,0.960484,0.999978,0.968394,0.999978,0.031606,0.983933,0.99868,1.0013,0.000001
17,92347,2,3001,137,0.956342,0.999978,0.968526,0.999978,0.031474,0.984001,0.998544,1.001436,0.000001
18,92347,2,3000,138,0.956023,0.999978,0.968536,0.999978,0.031464,0.984006,0.998534,1.001447,0.000001
19,92347,2,2992,146,0.953474,0.999978,0.968617,0.999978,0.031383,0.984048,0.99845,1.001531,0.000001
20,92347,2,2979,159,0.949331,0.999978,0.968749,0.999978,0.031251,0.984116,0.998314,1.001667,0.000001
21,92347,2,2966,172,0.945188,0.999978,0.968881,0.999978,0.031119,0.984184,0.998178,1.001804,0.000001
22,92347,2,2962,176,0.943913,0.999978,0.968922,0.999978,0.031078,0.984205,0.998136,1.001846,0.000001
23,92347,2,2951,187,0.940408,0.999978,0.969034,0.999978,0.030966,0.984263,0.998021,1.001962,0.000001
24,92347,2,2938,200,0.936265,0.999978,0.969166,0.999978,0.030834,0.984331,0.997885,1.002098,0.000001
25,92346,3,2935,203,0.935309,0.999968,0.969196,0.999968,0.030804,0.984342,0.997843,1.002129,0.000001
26,92346,3,2930,208,0.933716,0.999968,0.969247,0.999968,0.030753,0.984368,0.99779,1.002182,0.000001
27,92346,3,2915,223,0.928936,0.999968,0.9694,0.999968,0.0306,0.984446,0.997633,1.00234,0.000001
28,92346,3,2906,232,0.926068,0.999968,0.969491,0.999968,0.030509,0.984494,0.997539,1.002435,0.000001
29,92345,4,2894,244,0.922243,0.999957,0.969613,0.999957,0.030387,0.984551,0.997403,1.002561,0.000001
30,92345,4,2882,256,0.918419,0.999957,0.969735,0.999957,0.030265,0.984614,0.997277,1.002687,0.000001
31,92345,4,2861,277,0.911727,0.999957,0.969949,0.999957,0.030051,0.984724,0.997057,1.002908,0.000001
32,92345,4,2846,292,0.906947,0.999957,0.970102,0.999957,0.029898,0.984803,0.9969,1.003066,0.000001
33,92345,4,2829,309,0.90153,0.999957,0.970275,0.999957,0.029725,0.984893,0.996722,1.003245,0.000001
34,92344,5,2807,331,0.894519,0.999946,0.9705,0.999946,0.0295,0.985003,0.996481,1.003477,0.000001
35,92344,5,2788,350,0.888464,0.999946,0.970693,0.999946,0.029307,0.985102,0.996282,1.003677,0.000001
36,92344,5,2777,361,0.884959,0.999946,0.970806,0.999946,0.029194,0.98516,0.996167,1.003793,0.000001
37,92344,5,2753,385,0.87731,0.999946,0.971051,0.999946,0.028949,0.985286,0.995916,1.004047,0.000001
38,92344,5,2745,393,0.874761,0.999946,0.971132,0.999946,0.028868,0.985328,0.995832,1.004131,0.000001
39,92344,5,2728,410,0.869344,0.999946,0.971306,0.999946,0.028694,0.985418,0.995654,1.004311,0.000001
40,92343,6,2710,428,0.863607,0.999935,0.97149,0.999935,0.02851,0.985507,0.995455,1.004501,0.000001
41,92343,6,2704,434,0.861695,0.999935,0.971551,0.999935,0.028449,0.985539,0.995392,1.004564,0.000001
42,92343,6,2702,436,0.861058,0.999935,0.971571,0.999935,0.028429,0.985549,0.995371,1.004585,0.000001
43,92343,6,2676,462,0.852772,0.999935,0.971837,0.999935,0.028163,0.985686,0.995099,1.00486,0.000001
44,92342,7,2662,476,0.848311,0.999924,0.97198,0.999924,0.02802,0.985754,0.994942,1.005008,0.000001
45,92342,7,2654,484,0.845762,0.999924,0.972062,0.999924,0.027938,0.985796,0.994858,1.005092,0.000001
46,92340,9,2648,490,0.84385,0.999903,0.972123,0.999903,0.027877,0.985817,0.994774,1.005155,0.000001
47,92338,11,2634,504,0.839388,0.999881,0.972266,0.999881,0.027734,0.98588,0.994607,1.005303,0.000001
48,92337,12,2621,517,0.835245,0.99987,0.972398,0.99987,0.027602,0.985943,0.99446,1.00544,0.000001
49,92337,12,2603,535,0.829509,0.99987,0.972583,0.99987,0.027417,0.986038,0.994271,1.005631,0.000001
50,92337,12,2595,543,0.82696,0.99987,0.972665,0.99987,0.027335,0.98608,0.994188,1.005716,0.000002
51,92336,13,2576,562,0.820905,0.999859,0.972859,0.999859,0.027141,0.986174,0.993978,1.005917,0.000002
52,92334,15,2553,585,0.813576,0.999838,0.973094,0.999838,0.026906,0.986285,0.993716,1.00616,0.000002
53,92329,20,2529,609,0.805927,0.999783,0.973339,0.999783,0.026661,0.986384,0.993413,1.006413,0.000002
54,92329,20,2524,614,0.804334,0.999783,0.97339,0.999783,0.02661,0.98641,0.99336,1.006466,0.000002
55,92325,24,2480,658,0.790312,0.99974,0.973841,0.99974,0.026159,0.986621,0.992858,1.006932,0.000002
56,92323,26,2462,676,0.784576,0.999718,0.974025,0.999718,0.025975,0.986705,0.992648,1.007123,0.000003
57,92320,29,2407,731,0.767049,0.999686,0.97459,0.999686,0.02541,0.986979,0.992041,1.007707,0.000003
58,92319,30,2353,785,0.749841,0.999675,0.975146,0.999675,0.024854,0.987258,0.991465,1.008281,0.000003
59,92307,42,2201,937,0.701402,0.999545,0.976711,0.999545,0.023289,0.987996,0.989747,1.009899,0.000003
60,92300,49,2105,1033,0.670809,0.999469,0.977702,0.999469,0.022298,0.988466,0.988669,1.010925,0.000004
61,92259,90,1598,1540,0.509242,0.999025,0.982974,0.999025,0.017026,0.990935,0.98293,1.016375,0.000004
62,92239,110,1224,1914,0.390057,0.998809,0.986904,0.998809,0.013096,0.992821,0.978803,1.020439,0.032258
63,92236,113,1224,1914,0.390057,0.998776,0.986903,0.998776,0.013097,0.992804,0.978772,1.020438,0.038462
64,92236,113,1223,1915,0.389739,0.998776,0.986914,0.998776,0.013086,0.99281,0.978762,1.020449,0.04762
65,92236,113,1222,1916,0.38942,0.998776,0.986925,0.998776,0.013075,0.992815,0.978751,1.02046,0.050001
66,92236,113,1221,1917,0.389101,0.998776,0.986935,0.998776,0.013065,0.99282,0.978741,1.020471,0.052632
67,92236,113,1220,1918,0.388783,0.998776,0.986946,0.998776,0.013054,0.992826,0.97873,1.020482,0.055556
68,92235,114,1219,1919,0.388464,0.998766,0.986956,0.998766,0.013044,0.992826,0.978709,1.020493,0.058824
69,92234,115,1217,1921,0.387827,0.998755,0.986977,0.998755,0.013023,0.992831,0.978678,1.020514,0.058824
70,92234,115,1215,1923,0.387189,0.998755,0.986998,0.998755,0.013002,0.992842,0.978657,1.020536,0.06
71,92232,117,1215,1923,0.387189,0.998733,0.986998,0.998733,0.013002,0.992831,0.978636,1.020536,0.062501
72,92232,117,1214,1924,0.386871,0.998733,0.987009,0.998733,0.012991,0.992836,0.978625,1.020547,0.062501
73,92232,117,1213,1925,0.386552,0.998733,0.987019,0.998733,0.012981,0.992842,0.978615,1.020558,0.076923
74,92231,118,1213,1925,0.386552,0.998722,0.987019,0.998722,0.012981,0.992836,0.978604,1.020558,0.078432
75,92230,119,1213,1925,0.386552,0.998711,0.987019,0.998711,0.012981,0.992831,0.978594,1.020558,0.081081
