@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,3138,0,92283,0,1,1,0.032886,1,0.967114,0.063678,1,1,0
1,3138,0,92282,1,0.999989,1,0.032886,1,0.967114,0.063678,0.99999,1.00001,0
2,3138,0,92281,2,0.999978,1,0.032887,1,0.967113,0.063679,0.999979,1.000021,0
3,3138,0,92280,3,0.999967,1,0.032887,1,0.967113,0.06368,0.999969,1.000031,0
4,3138,0,92279,4,0.999957,1,0.032887,1,0.967113,0.06368,0.999958,1.000042,0
5,3138,0,92278,5,0.999946,1,0.032888,1,0.967112,0.063681,0.999948,1.000052,0
6,3138,0,92277,6,0.999935,1,0.032888,1,0.967112,0.063681,0.999937,1.000063,0
7,3138,0,92275,8,0.999913,1,0.032889,1,0.967111,0.063683,0.999916,1.000084,0
8,3138,0,92274,9,0.999902,1,0.032889,1,0.967111,0.063683,0.999906,1.000094,0
9,3138,0,92273,10,0.999892,1,0.032889,1,0.967111,0.063684,0.999895,1.000105,0
10,3138,0,92272,11,0.999881,1,0.03289,1,0.96711,0.063685,0.999885,1.000115,0
11,3138,0,92151,132,0.99857,1,0.032931,1,0.967069,0.063763,0.998617,1.001385,0
12,3138,0,92150,133,0.998559,1,0.032932,1,0.967068,0.063764,0.998606,1.001396,0
13,3138,0,92148,135,0.998537,1,0.032932,1,0.967068,0.063765,0.998585,1.001417,0
14,3138,0,92022,261,0.997172,1,0.032976,1,0.967024,0.063847,0.997265,1.002743,0
15,3138,0,92021,262,0.997161,1,0.032976,1,0.967024,0.063847,0.997254,1.002753,0
16,3138,0,92020,263,0.99715,1,0.032977,1,0.967023,0.063848,0.997244,1.002764,0
17,3138,0,91885,398,0.995687,1,0.033024,1,0.966976,0.063936,0.995829,1.004188,0
18,3138,0,91749,534,0.994213,1,0.033071,1,0.966929,0.064024,0.994404,1.005628,0
19,3138,0,91748,535,0.994203,1,0.033071,1,0.966929,0.064025,0.994393,1.005638,0
20,3138,0,91745,538,0.99417,1,0.033072,1,0.966928,0.064027,0.994362,1.00567,0
21,3138,0,91595,688,0.992545,1,0.033125,1,0.966875,0.064125,0.99279,1.007263,0
22,3138,0,91594,689,0.992534,1,0.033125,1,0.966875,0.064126,0.992779,1.007273,0
23,3138,0,91593,690,0.992523,1,0.033125,1,0.966875,0.064127,0.992769,1.007284,0
24,3138,0,91592,691,0.992512,1,0.033126,1,0.966874,0.064127,0.992758,1.007294,0
25,3138,0,91591,692,0.992501,1,0.033126,1,0.966874,0.064128,0.992748,1.007305,0
26,3138,0,91590,693,0.99249,1,0.033126,1,0.966874,0.064129,0.992737,1.007316,0
27,3138,0,91588,695,0.992469,1,0.033127,1,0.966873,0.06413,0.992716,1.007337,0
28,3138,0,91587,696,0.992458,1,0.033127,1,0.966873,0.06413,0.992706,1.007348,0
29,3138,0,91585,698,0.992436,1,0.033128,1,0.966872,0.064132,0.992685,1.007369,0
30,3138,0,91581,702,0.992393,1,0.03313,1,0.96687,0.064134,0.992643,1.007411,0
31,3138,0,91579,704,0.992371,1,0.03313,1,0.96687,0.064136,0.992622,1.007433,0
32,3138,0,91577,706,0.99235,1,0.033131,1,0.966869,0.064137,0.992601,1.007454,0
33,3138,0,91575,708,0.992328,1,0.033132,1,0.966868,0.064138,0.99258,1.007475,0
34,3138,0,91574,709,0.992317,1,0.033132,1,0.966868,0.064139,0.99257,1.007486,0
35,3138,0,91573,710,0.992306,1,0.033132,1,0.966868,0.06414,0.992559,1.007496,0
36,3138,0,91568,715,0.992252,1,0.033134,1,0.966866,0.064143,0.992507,1.00755,0
37,3138,0,91565,718,0.99222,1,0.033135,1,0.966865,0.064145,0.992475,1.007582,0
38,3138,0,91489,794,0.991396,1,0.033162,1,0.966838,0.064195,0.991679,1.008391,0
39,3138,0,91488,795,0.991385,1,0.033162,1,0.966838,0.064195,0.991669,1.008401,0
40,3138,0,91409,874,0.990529,1,0.03319,1,0.96681,0.064247,0.990841,1.009244,0
41,3138,0,91326,957,0.98963,1,0.033219,1,0.966781,0.064302,0.989971,1.010131,0
42,3138,0,91236,1047,0.988654,1,0.033251,1,0.966749,0.064361,0.989028,1.011094,0
43,3138,0,91144,1139,0.987658,1,0.033283,1,0.966717,0.064422,0.988063,1.012081,0
