fpr,tpr
1,1
1,0.999989
0.998407,0.999989
0.996495,0.999989
0.995539,0.999989
0.994264,0.999989
0.992989,0.999989
0.98789,0.999989
0.984385,0.999989
0.981836,0.999989
0.979605,0.999989
0.969726,0.999989
0.967177,0.999989
0.966221,0.999978
0.965902,0.999978
0.964627,0.999978
0.960484,0.999978
0.956342,0.999978
0.956023,0.999978
0.953474,0.999978
0.949331,0.999978
0.945188,0.999978
0.943913,0.999978
0.940408,0.999978
0.936265,0.999978
0.935309,0.999968
0.933716,0.999968
0.928936,0.999968
0.926068,0.999968
0.922243,0.999957
0.918419,0.999957
0.911727,0.999957
0.906947,0.999957
0.90153,0.999957
0.894519,0.999946
0.888464,0.999946
0.884959,0.999946
0.87731,0.999946
0.874761,0.999946
0.869344,0.999946
0.863607,0.999935
0.861695,0.999935
0.861058,0.999935
0.852772,0.999935
0.848311,0.999924
0.845762,0.999924
0.84385,0.999903
0.839388,0.999881
0.835245,0.99987
0.829509,0.99987
0.82696,0.99987
0.820905,0.999859
0.813576,0.999838
0.805927,0.999783
0.804334,0.999783
0.790312,0.99974
0.784576,0.999718
0.767049,0.999686
0.749841,0.999675
0.701402,0.999545
0.670809,0.999469
0.509242,0.999025
0.390057,0.998809
0.390057,0.998776
0.389739,0.998776
0.38942,0.998776
0.389101,0.998776
0.388783,0.998776
0.388464,0.998766
0.387827,0.998755
0.387189,0.998755
0.387189,0.998733
0.386871,0.998733
0.386552,0.998733
0.386552,0.998722
0.386552,0.998711
0.386233,0.998701
0.384959,0.998701
0.384959,0.99869
0.384321,0.998679
0.383365,0.998679
0.383047,0.998679
0.383047,0.998668
0.382728,0.998668
0.382728,0.998646
0.382728,0.998636
0.381453,0.998625
0.381453,0.998614
0.381453,0.998603
0.381453,0.998592
0.381453,0.998581
0.380816,0.998581
0.380497,0.998581
0.380497,0.99856
0.380178,0.998549
0.379222,0.998549
0.378266,0.998538
0.377948,0.998538
0.377629,0.998538
0.37731,0.998538
0.37731,0.998516
0.376992,0.998516
0.376673,0.998516
0.376354,0.998516
0.375717,0.998516
0.375717,0.998506
0.37508,0.998506
0.374761,0.998506
0.374442,0.998462
0.373805,0.998462
0.373486,0.998462
0.373168,0.998452
0.372849,0.998452
0.37253,0.998452
0.37253,0.998441
0.372212,0.998441
0.370618,0.998419
0.369344,0.998397
0.368706,0.998397
0.368388,0.998397
0.367431,0.998376
0.367113,0.998376
0.365201,0.998311
0.362014,0.998235
0.361695,0.998224
0.361695,0.998213
0.361695,0.998202
0.361377,0.998192
0.361377,0.998181
0.356278,0.997986
0.351816,0.997813
0.351816,0.997802
0.351179,0.99778
0.351179,0.997759
0.35086,0.997726
0.295092,0.995614
0.260357,0.994716
0.260357,0.994705
0.259082,0.994564
0.258764,0.994477
0.258126,0.994477
0.258126,0.994467
0.252709,0.994142
0.25239,0.994109
0.241874,0.993741
0.241874,0.99373
0.241555,0.99373
0.241555,0.993719
0.240599,0.993655
0.239324,0.993579
0.239006,0.993579
0.239006,0.993557
0.204908,0.990211
0.152008,0.98523
0.15137,0.98523
0.150096,0.98523
0.150096,0.985219
0.150096,0.985208
0.150096,0.985197
0.14914,0.985187
0.148502,0.985187
0.142447,0.984938
0.135437,0.984526
0.135437,0.984515
0.135118,0.984494
0.135118,0.984483
0.135118,0.984472
0.135118,0.984461
0.133525,0.984299
0.129382,0.984093
0.129382,0.984082
0.129382,0.984071
0.129382,0.983995
0.128744,0.983909
0.128744,0.983855
0.128107,0.98379
0.128107,0.983768
0.128107,0.983681
0.127788,0.983671
0.127151,0.983606
0.127151,0.983584
0.127151,0.983573
0.127151,0.983562
0.127151,0.983541
0.127151,0.98353
0.127151,0.983508
0.127151,0.983487
0.126832,0.983487
0.126832,0.983465
0.126832,0.983454
0.126514,0.983454
0.126514,0.983443
0.126195,0.983443
0.125876,0.983443
0.125876,0.983422
0.125876,0.9834
0.125558,0.983378
0.125558,0.983313
0.125239,0.983313
0.12492,0.983292
0.12492,0.983281
0.12492,0.98327
0.12492,0.983259
0.124602,0.983259
0.124602,0.983248
0.124602,0.983238
0.124283,0.983238
0.124283,0.983227
0.123964,0.983227
0.123964,0.983216
0.123964,0.983205
0.123327,0.983194
0.122371,0.983194
0.122371,0.983183
0.122052,0.983162
0.122052,0.983151
0.122052,0.98314
0.090822,0.834097
0.034736,0.610564
0.030274,0.567716
0.024219,0.503471
0.023263,0.480936
0.018164,0.446209
0.017527,0.431569
0.015615,0.409219
0.01434,0.3993
0.013384,0.384054
0.012428,0.375727
0.010835,0.363967
0.010516,0.358022
0.009879,0.349381
0.00956,0.343382
0.00956,0.335163
0.009242,0.331341
0.008923,0.324205
0.008604,0.319971
0.008604,0.31355
0.008604,0.309002
0.008286,0.303317
0.007967,0.298975
0.007648,0.292835
