fpr,tpr
1,1
0.999681,1
0.999363,1
0.998725,1
0.998407,1
0.998088,1
0.997769,1
0.997451,1
0.997132,1
0.996813,1
0.996495,1
0.995857,1
0.995539,1
0.99522,1
0.994901,1
0.994583,1
0.994264,1
0.993945,1
0.993308,1
0.992989,1
0.99267,1
0.992352,1
0.992033,1
0.991714,1
0.991077,1
0.99044,1
0.990121,1
0.989802,1
0.989484,1
0.989165,1
0.988846,1
0.988528,1
0.988209,1
0.98789,1
0.987572,1
0.987253,1
0.986934,1
0.98566,1
0.985341,1
0.985022,1
0.984704,1
0.984385,1
0.984066,1
0.983748,1
0.983429,1
0.98311,1
0.982792,1
0.982473,1
0.982154,1
0.981836,1
0.981517,1
0.981198,1
0.98088,1
0.980561,1
0.980242,1
0.979924,1
0.979605,1
0.979286,1
0.978967,1
0.978649,1
0.97833,1
0.978011,1
0.977374,1
0.976737,1
0.976418,1
0.976099,1
0.975781,1
0.975462,1
0.975143,1
0.974825,1
0.973869,1
0.973231,1
0.972913,1
0.972594,1
0.972275,1
0.971957,1
0.971638,1
0.971319,1
0.971001,1
0.970682,1
0.970363,1
0.970045,1
0.969726,1
0.969407,1
0.96877,1
0.968133,1
0.967495,1
0.967177,1
0.966858,1
0.966539,1
0.966221,1
0.965902,1
0.965583,1
0.964946,1
0.964627,1
0.964308,1
0.96399,1
0.963671,1
0.963352,1
0.962715,1
0.962396,1
0.962078,1
0.961759,1
0.96144,1
0.961122,1
0.960484,1
0.960166,1
0.959847,1
0.959528,1
0.95921,1
0.958891,1
0.958572,1
0.958254,1
0.957616,1
0.957298,1
0.956979,1
0.95666,1
0.956342,1
0.956023,1
0.955704,1
0.955067,1
0.954748,1
0.95443,1
0.954111,1
0.953792,1
0.953474,1
0.953155,1
0.952836,1
0.952518,1
0.952199,1
0.951562,1
0.951243,1
0.950924,1
0.950605,1
0.950287,1
0.949968,1
0.949649,1
0.949331,1
0.949012,1
0.948693,1
0.948375,1
0.948056,1
0.947737,1
0.947419,1
0.9471,1
0.946781,1
0.946463,1
0.945825,1
0.945507,1
0.945188,1
0.944869,1
0.944551,1
0.944232,1
0.943913,1
0.943595,1
0.943276,1
0.942957,1
0.94232,1
0.942001,1
0.941683,1
0.941364,1
0.941045,1
0.940727,1
0.940408,1
0.939771,1
0.939452,1
0.938815,1
0.938496,1
0.938177,1
0.937859,1
0.93754,1
0.937221,1
0.936902,1
0.936584,1
0.936265,1
0.935946,1
0.935309,1
0.93499,1
0.934672,1
0.934353,1
0.934034,1
0.933716,1
0.933397,1
0.933078,1
0.93276,1
0.932441,1
0.932122,1
0.931166,1
0.930848,1
0.930529,1
0.93021,1
0.929892,1
0.929573,1
0.929254,1
0.928617,1
0.928298,1
0.92798,1
0.927661,1
0.927342,1
0.927024,1
0.926705,1
0.926386,1
0.926068,1
0.92543,1
0.925112,1
0.924793,1
0.924474,1
0.924156,1
0.923837,1
0.923199,1
0.922881,1
0.922562,1
0.922243,1
0.921606,1
0.921287,1
0.920969,1
0.92065,1
0.920331,1
0.920013,1
0.919694,1
0.919057,1
0.918738,1
0.918101,1
0.917782,1
0.917463,1
0.917145,1
0.916826,1
0.916507,1
0.916189,1
0.91587,1
0.915551,1
0.915233,1
0.914595,1
0.914277,1
0.913958,1
0.913958,0.999989
0.913639,0.999989
0.913321,0.999989
0.913002,0.999989
0.912683,0.999989
0.912365,0.999989
0.912046,0.999989
0.911727,0.999989
0.911409,0.999989
0.91109,0.999989
0.910771,0.999989
0.910453,0.999989
0.910134,0.999989
0.909496,0.999989
0.909178,0.999989
0.908859,0.999989
0.90854,0.999989
0.908222,0.999989
0.907903,0.999989
0.907584,0.999989
0.907266,0.999989
0.906628,0.999989
0.90631,0.999989
0.905991,0.999989
0.905672,0.999989
0.905354,0.999989
0.905035,0.999989
0.904398,0.999989
0.904079,0.999989
0.90376,0.999989
0.903442,0.999989
0.903123,0.999989
0.902804,0.999989
0.902486,0.999989
0.902167,0.999989
0.901848,0.999989
0.900892,0.999989
0.900574,0.999989
0.900255,0.999989
0.899936,0.999989
0.899618,0.999989
0.899299,0.999989
0.89898,0.999989
0.898662,0.999989
0.898343,0.999989
0.898024,0.999989
0.897706,0.999989
0.897387,0.999989
0.897068,0.999989
0.89675,0.999989
0.896431,0.999989
0.896112,0.999989
0.895793,0.999989
0.895475,0.999989
0.895156,0.999989
0.894837,0.999989
0.894519,0.999989
0.8942,0.999989
0.893881,0.999989
0.893563,0.999989
0.893244,0.999989
0.892925,0.999989
0.892607,0.999989
0.892288,0.999989
0.891969,0.999989
0.891651,0.999989
0.891332,0.999989
0.891013,0.999989
0.890695,0.999989
0.890376,0.999989
0.890057,0.999989
0.889739,0.999989
0.88942,0.999989
0.889101,0.999989
0.888783,0.999989
0.888464,0.999989
0.888145,0.999989
0.887827,0.999989
0.887508,0.999989
0.887189,0.999989
0.886871,0.999989
0.886552,0.999989
0.886233,0.999989
0.885915,0.999989
0.885596,0.999989
0.885277,0.999989
0.884959,0.999989
0.884321,0.999989
0.884003,0.999989
0.883684,0.999989
0.883684,0.999978
0.883365,0.999978
0.883047,0.999978
0.882728,0.999978
0.882409,0.999978
0.882091,0.999978
0.881772,0.999978
0.881453,0.999978
0.881134,0.999978
0.880816,0.999978
0.880497,0.999978
0.880178,0.999978
0.87986,0.999978
0.879541,0.999978
0.879222,0.999978
0.878904,0.999978
0.878585,0.999978
0.878266,0.999978
0.876992,0.999978
0.876673,0.999978
0.876354,0.999978
0.876036,0.999978
0.875717,0.999978
0.875398,0.999978
0.87508,0.999978
0.874761,0.999978
0.874442,0.999978
0.874124,0.999978
0.873805,0.999978
0.873486,0.999978
0.873168,0.999978
0.872849,0.999978
0.87253,0.999978
0.872212,0.999978
0.871893,0.999978
0.871574,0.999978
0.871256,0.999978
0.870937,0.999978
0.870618,0.999978
0.8703,0.999978
0.868069,0.999978
0.86775,0.999978
0.867431,0.999978
0.867113,0.999978
0.866794,0.999978
0.866157,0.999978
0.865838,0.999978
0.865519,0.999978
0.865201,0.999978
0.864882,0.999978
0.864563,0.999978
0.864245,0.999978
0.863926,0.999978
0.863607,0.999978
0.863289,0.999978
0.86297,0.999978
0.862651,0.999978
0.862333,0.999978
0.862014,0.999978
0.861695,0.999978
0.861377,0.999978
0.861058,0.999978
0.860739,0.999978
0.860421,0.999978
0.860102,0.999978
0.859783,0.999978
0.859465,0.999978
0.859146,0.999978
0.858827,0.999978
0.858509,0.999978
0.85819,0.999978
0.857871,0.999978
0.857234,0.999978
0.855959,0.999978
0.855641,0.999978
0.855322,0.999978
0.855003,0.999978
0.854685,0.999978
0.854366,0.999978
0.854047,0.999978
0.853728,0.999978
0.85341,0.999978
0.853091,0.999978
