@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,3138,0,92283,0,1,1,0.032886,1,0.967114,0.063678,1,1,0
1,3125,13,74900,17383,0.811634,0.995857,0.040051,0.995857,0.959949,0.077006,0.817692,1.217888,0
2,3125,13,74899,17384,0.811623,0.995857,0.040052,0.995857,0.959948,0.077006,0.817682,1.217903,0
3,3125,13,74898,17385,0.811612,0.995857,0.040052,0.995857,0.959948,0.077007,0.817671,1.217919,0
4,3125,13,74897,17386,0.811601,0.995857,0.040053,0.995857,0.959947,0.077008,0.817661,1.217935,0
5,3125,13,74896,17387,0.81159,0.995857,0.040053,0.995857,0.959947,0.077009,0.81765,1.21795,0
6,3125,13,74895,17388,0.81158,0.995857,0.040054,0.995857,0.959946,0.07701,0.81764,1.217966,0
7,3125,13,74893,17390,0.811558,0.995857,0.040055,0.995857,0.959945,0.077012,0.817619,1.217997,0
8,3125,13,74892,17391,0.811547,0.995857,0.040055,0.995857,0.959945,0.077013,0.817608,1.218013,0
9,3125,13,74890,17393,0.811525,0.995857,0.040056,0.995857,0.959944,0.077015,0.817587,1.218044,0
10,3125,13,74889,17394,0.811515,0.995857,0.040057,0.995857,0.959943,0.077016,0.817577,1.218059,0
11,3125,13,74887,17396,0.811493,0.995857,0.040058,0.995857,0.959942,0.077018,0.817556,1.218091,0
12,3125,13,74886,17397,0.811482,0.995857,0.040058,0.995857,0.959942,0.077019,0.817545,1.218106,0
13,3125,13,74885,17398,0.811471,0.995857,0.040059,0.995857,0.959941,0.07702,0.817535,1.218122,0
14,3125,13,74884,17399,0.81146,0.995857,0.040059,0.995857,0.959941,0.077021,0.817524,1.218138,0
15,3125,13,74883,17400,0.81145,0.995857,0.04006,0.995857,0.95994,0.077022,0.817514,1.218153,0
16,3125,13,74882,17401,0.811439,0.995857,0.040061,0.995857,0.959939,0.077023,0.817503,1.218169,0
17,3125,13,74881,17402,0.811428,0.995857,0.040061,0.995857,0.959939,0.077024,0.817493,1.218184,0
18,3125,13,74880,17403,0.811417,0.995857,0.040062,0.995857,0.959938,0.077025,0.817483,1.2182,0
19,3125,13,74878,17405,0.811395,0.995857,0.040063,0.995857,0.959937,0.077026,0.817462,1.218231,0
20,3125,13,74876,17407,0.811374,0.995857,0.040064,0.995857,0.959936,0.077028,0.817441,1.218262,0
21,3125,13,74875,17408,0.811363,0.995857,0.040064,0.995857,0.959936,0.077029,0.81743,1.218278,0
22,3125,13,74872,17411,0.81133,0.995857,0.040066,0.995857,0.959934,0.077032,0.817399,1.218325,0
23,3125,13,74871,17412,0.81132,0.995857,0.040066,0.995857,0.959934,0.077033,0.817388,1.218341,0
24,3125,13,74870,17413,0.811309,0.995857,0.040067,0.995857,0.959933,0.077034,0.817378,1.218356,0
25,3125,13,74868,17415,0.811287,0.995857,0.040068,0.995857,0.959932,0.077036,0.817357,1.218387,0
26,3125,13,74867,17416,0.811276,0.995857,0.040068,0.995857,0.959932,0.077037,0.817346,1.218403,0
27,3125,13,74865,17418,0.811255,0.995857,0.040069,0.995857,0.959931,0.077039,0.817325,1.218434,0
28,3125,13,74855,17428,0.811146,0.995857,0.040074,0.995857,0.959926,0.077048,0.817221,1.218591,0
29,3125,13,74854,17429,0.811135,0.995857,0.040075,0.995857,0.959925,0.077049,0.81721,1.218606,0
30,3125,13,74853,17430,0.811124,0.995857,0.040075,0.995857,0.959925,0.07705,0.8172,1.218622,0
31,3125,13,74851,17432,0.811103,0.995857,0.040076,0.995857,0.959924,0.077052,0.817179,1.218653,0
32,3125,13,74842,17441,0.811005,0.995857,0.040081,0.995857,0.959919,0.077061,0.817084,1.218794,0
33,3125,13,74841,17442,0.810994,0.995857,0.040082,0.995857,0.959918,0.077062,0.817074,1.218809,0
34,3125,13,74840,17443,0.810984,0.995857,0.040082,0.995857,0.959918,0.077063,0.817063,1.218825,0
35,3125,13,74839,17444,0.810973,0.995857,0.040083,0.995857,0.959917,0.077063,0.817053,1.218841,0
36,3125,13,74837,17446,0.810951,0.995857,0.040084,0.995857,0.959916,0.077065,0.817032,1.218872,0
37,3125,13,74834,17449,0.810919,0.995857,0.040085,0.995857,0.959915,0.077068,0.817,1.218919,0
38,3125,13,74833,17450,0.810908,0.995857,0.040086,0.995857,0.959914,0.077069,0.81699,1.218934,0
39,3125,13,74824,17459,0.81081,0.995857,0.04009,0.995857,0.95991,0.077078,0.816896,1.219075,0
40,3125,13,74816,17467,0.810724,0.995857,0.040094,0.995857,0.959906,0.077085,0.816812,1.2192,0
41,3125,13,74815,17468,0.810713,0.995857,0.040095,0.995857,0.959905,0.077086,0.816801,1.219216,0
