fpr,tpr
1,1
0.811634,0.995857
0.811623,0.995857
0.811612,0.995857
0.811601,0.995857
0.81159,0.995857
0.81158,0.995857
0.811558,0.995857
0.811547,0.995857
0.811525,0.995857
0.811515,0.995857
0.811493,0.995857
0.811482,0.995857
0.811471,0.995857
0.81146,0.995857
0.81145,0.995857
0.811439,0.995857
0.811428,0.995857
0.811417,0.995857
0.811395,0.995857
0.811374,0.995857
0.811363,0.995857
0.81133,0.995857
0.81132,0.995857
0.811309,0.995857
0.811287,0.995857
0.811276,0.995857
0.811255,0.995857
0.811146,0.995857
0.811135,0.995857
0.811124,0.995857
0.811103,0.995857
0.811005,0.995857
0.810994,0.995857
0.810984,0.995857
0.810973,0.995857
0.810951,0.995857
0.810919,0.995857
0.810908,0.995857
0.81081,0.995857
0.810724,0.995857
0.810713,0.995857
0.810702,0.995857
0.81068,0.995857
0.810669,0.995857
0.810615,0.995857
0.810604,0.995857
0.810594,0.995857
0.810507,0.995857
0.810485,0.995857
0.81016,0.995857
0.810149,0.995857
0.810138,0.995857
0.810008,0.995857
0.809998,0.995857
0.809976,0.995857
0.809965,0.995857
0.809889,0.995857
0.809878,0.995857
0.809867,0.995857
0.809846,0.995857
0.809824,0.995857
0.809813,0.995857
0.809792,0.995857
0.809781,0.995857
0.80977,0.995857
0.809759,0.995857
0.809716,0.995857
0.809705,0.995857
0.809694,0.995857
0.809662,0.995857
0.809651,0.995857
0.809597,0.995857
0.809586,0.995857
0.809575,0.995857
0.809542,0.995857
0.809532,0.995857
0.809521,0.995857
0.809467,0.995857
0.809456,0.995857
0.809445,0.995857
0.809434,0.995857
0.809423,0.995857
0.809412,0.995857
0.809402,0.995857
0.809391,0.995857
0.80938,0.995857
0.809369,0.995857
0.809358,0.995857
0.809293,0.995857
0.809282,0.995857
0.809271,0.995857
0.809261,0.995857
0.80925,0.995857
0.809163,0.995857
0.809141,0.995857
0.809131,0.995857
0.80912,0.995857
0.809098,0.995857
0.809087,0.995857
0.809066,0.995857
0.809055,0.995857
0.809044,0.995857
0.809033,0.995857
0.80899,0.995857
0.808979,0.995857
0.808968,0.995857
0.808957,0.995857
0.808946,0.995857
0.808936,0.995857
0.808925,0.995857
0.808914,0.995857
0.808903,0.995857
0.808892,0.995857
0.808621,0.995857
0.80861,0.995857
0.8086,0.995857
0.808589,0.995857
0.808578,0.995857
0.808513,0.995857
0.808502,0.995857
0.808448,0.995857
0.80835,0.995857
0.80834,0.995857
0.808123,0.995857
0.808112,0.995857
0.808101,0.995857
0.80809,0.995857
0.808079,0.995857
0.808014,0.995857
0.808004,0.995857
0.807971,0.995857
0.80796,0.995857
0.807928,0.995857
0.807917,0.995857
0.807895,0.995857
0.807137,0.995857
0.807126,0.995857
0.807115,0.995857
0.807115,0.995539
0.807093,0.995539
0.807083,0.995539
0.807072,0.995539
0.80705,0.995539
0.807039,0.995539
0.807028,0.995539
0.807018,0.995539
0.806996,0.995539
0.806985,0.995539
0.806877,0.995539
0.806822,0.995539
0.80679,0.995539
0.806779,0.995539
0.806768,0.995539
0.806757,0.995539
0.806584,0.995539
0.806562,0.995539
0.806552,0.995539
0.806541,0.995539
0.806519,0.995539
0.806487,0.995539
0.806476,0.995539
0.806465,0.995539
0.806454,0.995539
0.806443,0.995539
0.806432,0.995539
0.806422,0.995539
0.806411,0.995539
0.8064,0.995539
0.806389,0.995539
0.806378,0.995539
0.806367,0.995539
0.806346,0.995539
0.806313,0.995539
0.806302,0.995539
0.805522,0.995539
0.80549,0.995539
0.805479,0.995539
0.805457,0.995539
0.805446,0.995539
0.805435,0.995539
0.805425,0.995539
0.805338,0.995539
0.805305,0.995539
0.805197,0.995539
0.805175,0.995539
0.805165,0.995539
0.805143,0.995539
0.805132,0.995539
0.805121,0.995539
0.80511,0.995539
0.8051,0.995539
0.805089,0.995539
0.805078,0.995539
0.805067,0.995539
0.805056,0.995539
0.805045,0.995539
0.805035,0.995539
0.805024,0.995539
0.804959,0.995539
0.804948,0.995539
0.804937,0.995539
0.804926,0.995539
0.804915,0.995539
0.804894,0.995539
0.804883,0.995539
0.804872,0.995539
0.804818,0.995539
0.804807,0.995539
0.804796,0.995539
0.804774,0.995539
0.804764,0.995539
0.804742,0.995539
0.804731,0.995539
0.80472,0.995539
