actual,predict,predict_prob

0,0,6.34801e-05
0,0,1.75329e-06
0,0,4.15535e-07
0,0,8.85112e-08
0,0,7.28722e-08
0,0,5.5494e-08
0,0,2.25087e-08
0,0,1.89e-08
0,0,8.67732e-09
0,0,9.50843e-09
0,0,6.08486e-09
0,0,7.92099e-09
0,0,5.67467e-09
0,0,5.52279e-09
0,0,5.75884e-09
0,0,3.54696e-09
0,0,4.64001e-09
0,0,5.28932e-09
0,0,5.97084e-09
0,0,4.63937e-09
0,0,4.81497e-09
0,0,6.9869e-09
0,0,1.01587e-08
0,0,1.37023e-08
0,0,1.26051e-08
0,0,1.46786e-08
0,0,1.60778e-08
0,0,1.86376e-08
0,0,2.52605e-08
0,0,3.28496e-08
0,0,3.74151e-08
0,0,4.84981e-08
0,0,6.62472e-08
0,0,8.05708e-08
0,0,1.08398e-07
0,0,1.2455e-07
0,0,1.76616e-07
0,0,2.42516e-07
0,0,3.47203e-07
0,0,5.22612e-07
0,0,8.66602e-07
0,0,1.75292e-06
0,0,3.69831e-06
0,0,5.23365e-06
0,0,1.66086e-05
0,0,4.32625e-05
0,0,0.000454294
0,0,0.0124214
0,0,0.132327
1,1,0.992256
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,1.62128e-08
0,0,1.28782e-08
0,0,1.08006e-08
0,0,9.5531e-09
0,0,8.86605e-09
0,0,8.59469e-09
0,0,8.6732e-09
0,0,9.08858e-09
0,0,9.86784e-09
0,0,1.10676e-08
0,0,1.27553e-08
0,0,1.49853e-08
0,0,1.7793e-08
0,0,2.11875e-08
0,0,2.51803e-08
0,0,2.9832e-08
0,0,3.52955e-08
0,0,4.18494e-08
0,0,4.99255e-08
0,0,6.01448e-08
0,0,7.33781e-08
0,0,8.0841e-08
0,0,7.85116e-08
0,0,9.68696e-08
0,0,9.2639e-08
0,0,1.18725e-07
0,0,1.68944e-07
0,0,2.04034e-07
0,0,3.04809e-07
0,0,3.86593e-07
0,0,4.71566e-07
0,0,8.64797e-07
0,0,1.75423e-06
0,0,2.92017e-06
0,0,6.42374e-06
0,0,2.20952e-05
0,0,0.000146703
0,0,0.000841687
0,0,0.0217378
0,0,0.292115
1,1,0.996832
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,2.58107e-08
0,0,1.66168e-08
0,0,1.68596e-08
0,0,1.66007e-08
0,0,1.05085e-08
0,0,8.90129e-09
0,0,4.81902e-09
0,0,5.53884e-09
0,0,6.61546e-09
0,0,6.0462e-09
0,0,3.73032e-09
0,0,4.79345e-09
0,0,5.40648e-09
0,0,7.05554e-09
0,0,8.93835e-09
0,0,9.59697e-09
0,0,1.23185e-08
0,0,9.26929e-09
0,0,9.94983e-09
0,0,1.3932e-08
0,0,1.94467e-08
0,0,2.57104e-08
0,0,3.23316e-08
0,0,3.31718e-08
0,0,3.46194e-08
0,0,4.34865e-08
0,0,5.01259e-08
0,0,6.46598e-08
0,0,7.61819e-08
0,0,1.02777e-07
0,0,1.49187e-07
0,0,2.11244e-07
0,0,3.20748e-07
0,0,4.03928e-07
0,0,6.6056e-07
0,0,1.05425e-06
0,0,1.76853e-06
0,0,2.82867e-06
0,0,6.75695e-06
0,0,3.26477e-05
0,0,0.000258408
0,0,0.00252561
0,0,0.02951
0,1,0.665814
1,1,0.99906
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,6.39471e-09
0,0,4.45356e-09
0,0,3.66403e-09
0,0,4.5254e-09
0,0,3.58835e-09
0,0,5.09442e-09
0,0,4.36788e-09
0,0,5.79197e-09
0,0,6.28906e-09
0,0,7.93427e-09
0,0,5.61598e-09
0,0,5.50371e-09
0,0,6.08481e-09
0,0,7.0639e-09
0,0,1.02005e-08
0,0,1.18147e-08
0,0,1.3286e-08
0,0,1.80684e-08
0,0,2.40765e-08
0,0,3.05515e-08
0,0,3.57012e-08
0,0,4.77864e-08
0,0,6.20721e-08
0,0,8.36716e-08
0,0,1.05784e-07
0,0,1.44374e-07
0,0,2.00666e-07
0,0,2.95696e-07
0,0,3.63367e-07
0,0,5.63604e-07
0,0,9.68839e-07
0,0,1.25689e-06
0,0,2.66631e-06
0,0,6.76354e-06
0,0,1.71228e-05
0,0,5.83567e-05
0,0,0.000249943
0,0,0.00797371
0,1,0.573625
0,1,0.997361
1,1,0.999977
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,1.62128e-08
0,0,1.28782e-08
0,0,1.08006e-08
0,0,9.5531e-09
0,0,8.86605e-09
0,0,8.59469e-09
0,0,8.6732e-09
0,0,9.08858e-09
0,0,9.86784e-09
0,0,1.10676e-08
0,0,1.27553e-08
0,0,1.49853e-08
0,0,1.7793e-08
0,0,2.11875e-08
0,0,2.51803e-08
0,0,2.9832e-08
0,0,3.52955e-08
0,0,4.18494e-08
0,0,4.99255e-08
0,0,6.01448e-08
0,0,7.33781e-08
0,0,9.06824e-08
0,0,1.13038e-07
0,0,1.27731e-07
0,0,1.62253e-07
0,0,1.94182e-07
0,0,1.7692e-07
0,0,2.30289e-07
0,0,2.68144e-07
0,0,3.40916e-07
0,0,4.25002e-07
0,0,5.89211e-07
0,0,1.15078e-06
0,0,2.43521e-06
0,0,6.44764e-06
0,0,1.33039e-05
0,0,3.43314e-05
0,0,0.000166316
0,0,0.00518338
0,0,0.481254
1,1,0.929556
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,1.62128e-08
0,0,1.28782e-08
0,0,1.08006e-08
0,0,9.5531e-09
0,0,8.86605e-09
0,0,8.59469e-09
0,0,8.6732e-09
0,0,9.08858e-09
0,0,9.86784e-09
0,0,1.10676e-08
0,0,1.27553e-08
0,0,1.49853e-08
0,0,1.7793e-08
0,0,2.11875e-08
0,0,2.51803e-08
0,0,2.9832e-08
0,0,3.52955e-08
0,0,4.18494e-08
0,0,4.99255e-08
0,0,6.01448e-08
0,0,7.33781e-08
0,0,9.06824e-08
0,0,1.13038e-07
0,0,1.27731e-07
0,0,1.07974e-07
0,0,1.35653e-07
0,0,1.90087e-07
0,0,2.7933e-07
0,0,3.76714e-07
0,0,5.44754e-07
0,0,6.34668e-07
0,0,7.61302e-07
0,0,1.09507e-06
0,0,2.39433e-06
0,0,3.96834e-06
0,0,1.25192e-05
0,0,3.70169e-05
0,0,0.00019626
0,0,0.00137301
0,0,0.027911
1,1,0.933618
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,1.62128e-08
0,0,1.28782e-08
0,0,1.08006e-08
0,0,9.5531e-09
0,0,8.86605e-09
0,0,8.59469e-09
0,0,8.6732e-09
0,0,9.08858e-09
0,0,9.86784e-09
0,0,1.10676e-08
0,0,1.27553e-08
0,0,1.49853e-08
0,0,1.7793e-08
0,0,2.11875e-08
0,0,2.51803e-08
0,0,2.9832e-08
0,0,3.52955e-08
0,0,4.18494e-08
0,0,4.99255e-08
0,0,6.01448e-08
0,0,6.50879e-08
0,0,7.43985e-08
0,0,9.46193e-08
0,0,1.00738e-07
0,0,1.26113e-07
0,0,1.2189e-07
0,0,1.39808e-07
0,0,1.63123e-07
0,0,2.42037e-07
0,0,3.71248e-07
0,0,5.8531e-07
0,0,9.42265e-07
0,0,1.93302e-06
0,0,2.62472e-06
0,0,7.7354e-06
0,0,2.50142e-05
0,0,5.33803e-05
0,0,0.000645883
0,0,0.0343083
0,0,0.445577
1,1,0.997911
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,1.62128e-08
0,0,1.28782e-08
0,0,1.08006e-08
0,0,9.5531e-09
0,0,8.86605e-09
0,0,8.59469e-09
0,0,8.6732e-09
0,0,9.08858e-09
0,0,9.86784e-09
0,0,1.10676e-08
0,0,1.27553e-08
0,0,1.49853e-08
0,0,1.7793e-08
0,0,2.11875e-08
0,0,2.51803e-08
0,0,2.9832e-08
0,0,3.05195e-08
0,0,2.78554e-08
0,0,3.38978e-08
0,0,3.11623e-08
0,0,3.94124e-08
0,0,5.35458e-08
0,0,6.04221e-08
0,0,6.85855e-08
0,0,7.74639e-08
0,0,9.72211e-08
0,0,1.40961e-07
0,0,2.12789e-07
0,0,3.26156e-07
0,0,4.28838e-07
0,0,7.32384e-07
0,0,1.04373e-06
0,0,1.82743e-06
0,0,4.54011e-06
0,0,1.30315e-05
0,0,5.36794e-05
0,0,0.000183707
0,0,0.00638616
0,0,0.100283
0,1,0.984682
1,1,0.999881
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,1.62128e-08
0,0,1.28782e-08
0,0,1.08006e-08
0,0,9.5531e-09
0,0,8.86605e-09
0,0,6.41602e-09
0,0,7.26315e-09
0,0,6.46966e-09
0,0,4.26361e-09
0,0,6.09624e-09
0,0,5.79339e-09
0,0,7.56216e-09
0,0,7.4994e-09
0,0,8.51137e-09
0,0,1.23053e-08
0,0,1.66988e-08
0,0,1.75757e-08
0,0,1.88176e-08
0,0,2.58656e-08
0,0,3.54673e-08
0,0,4.51986e-08
0,0,4.83758e-08
0,0,5.50205e-08
0,0,6.53036e-08
0,0,9.25578e-08
0,0,1.41118e-07
0,0,1.98704e-07
0,0,2.53796e-07
0,0,4.13274e-07
0,0,6.75307e-07
0,0,1.08933e-06
0,0,2.01244e-06
0,0,5.44058e-06
0,0,1.27854e-05
0,0,5.00048e-05
0,0,0.000334647
0,0,0.00957364
0,0,0.491644
0,1,0.996789
0,1,0.999943
1,1,0.999995
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,1.62128e-08
0,0,1.28782e-08
0,0,1.08006e-08
0,0,9.5531e-09
0,0,6.63215e-09
0,0,7.24988e-09
0,0,3.93077e-09
0,0,5.50278e-09
0,0,6.12385e-09
0,0,7.16162e-09
0,0,6.11595e-09
0,0,8.59238e-09
0,0,1.07329e-08
0,0,1.22999e-08
0,0,1.64597e-08
0,0,2.09202e-08
0,0,2.18681e-08
0,0,2.23787e-08
0,0,2.91086e-08
0,0,3.18514e-08
0,0,4.11749e-08
0,0,5.6238e-08
0,0,7.62692e-08
0,0,1.01415e-07
0,0,1.33514e-07
0,0,1.83996e-07
0,0,2.56772e-07
0,0,2.74076e-07
0,0,4.1109e-07
0,0,5.85635e-07
0,0,7.9301e-07
0,0,1.5053e-06
0,0,3.03335e-06
0,0,9.18543e-06
0,0,1.94196e-05
0,0,4.49673e-05
0,0,0.000165183
0,0,0.0056349
0,0,0.0862062
0,1,0.985604
1,1,0.998559
0,0,0.000152288
0,0,2.35901e-06
0,0,6.01858e-07
0,0,9.05056e-08
0,0,3.44456e-08
0,0,1.99341e-08
0,0,2.21805e-08
0,0,1.17887e-08
0,0,1.30432e-08
0,0,1.17773e-08
0,0,5.85904e-09
0,0,4.89682e-09
0,0,6.7602e-09
0,0,5.63079e-09
0,0,6.61711e-09
0,0,5.14792e-09
0,0,5.8227e-09
0,0,3.99209e-09
0,0,5.25939e-09
0,0,6.28861e-09
0,0,7.55401e-09
0,0,1.01842e-08
0,0,9.33583e-09
0,0,1.04651e-08
0,0,1.38077e-08
0,0,1.29926e-08
0,0,1.7209e-08
0,0,1.79663e-08
0,0,2.29442e-08
0,0,2.58811e-08
0,0,3.52534e-08
0,0,4.96132e-08
0,0,6.87364e-08
0,0,9.33316e-08
0,0,1.0266e-07
0,0,1.37503e-07
0,0,1.8666e-07
0,0,2.37533e-07
0,0,3.33049e-07
0,0,4.20541e-07
0,0,6.08454e-07
0,0,1.09786e-06
0,0,2.69329e-06
0,0,5.74658e-06
0,0,1.49692e-05
0,0,3.3787e-05
0,0,0.00037663
0,0,0.00279006
0,0,0.362041
1,1,0.994443
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,1.62128e-08
0,0,1.28782e-08
0,0,1.08006e-08
0,0,9.5531e-09
0,0,8.86605e-09
0,0,8.59469e-09
0,0,8.6732e-09
0,0,9.08858e-09
0,0,9.86784e-09
0,0,1.10676e-08
0,0,1.27553e-08
0,0,1.49853e-08
0,0,1.7793e-08
0,0,2.11875e-08
0,0,2.51803e-08
0,0,2.9832e-08
0,0,3.52955e-08
0,0,4.18494e-08
0,0,4.99255e-08
0,0,6.01448e-08
0,0,7.33781e-08
0,0,9.06824e-08
0,0,1.13038e-07
0,0,1.42471e-07
0,0,1.82242e-07
0,0,2.37903e-07
0,0,3.18593e-07
0,0,4.4081e-07
0,0,3.88427e-07
0,0,5.31384e-07
0,0,5.63962e-07
0,0,9.23825e-07
0,0,1.75225e-06
0,0,2.31873e-06
0,0,4.29787e-06
0,0,9.1125e-06
0,0,3.29353e-05
0,0,0.000256471
0,0,0.0041116
0,0,0.280319
1,1,0.993166
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
0,0,2.13258e-08
0,0,1.62128e-08
0,0,1.28782e-08
0,0,1.08006e-08
0,0,9.5531e-09
0,0,8.86605e-09
0,0,8.59469e-09
0,0,6.65602e-09
0,0,7.68672e-09
0,0,7.0918e-09
0,0,7.05017e-09
0,0,9.3294e-09
0,0,1.11272e-08
0,0,9.22608e-09
0,0,1.23059e-08
0,0,1.29425e-08
0,0,1.34035e-08
0,0,1.83925e-08
0,0,2.52551e-08
0,0,3.3771e-08
0,0,4.18656e-08
0,0,4.77187e-08
0,0,5.46348e-08
0,0,6.64957e-08
0,0,8.54703e-08
0,0,1.18363e-07
0,0,1.66509e-07
0,0,2.36085e-07
0,0,2.80078e-07
0,0,4.30644e-07
0,0,7.33746e-07
0,0,9.11955e-07
0,0,1.77898e-06
0,0,2.84882e-06
0,0,7.34995e-06
0,0,2.26524e-05
0,0,5.29277e-05
0,0,0.000370681
0,0,0.00402942
0,0,0.412588
0,1,0.995072
1,1,0.999123
0,0,0.000811201
0,0,1.53465e-05
0,0,1.38157e-06
0,0,3.32212e-07
0,0,1.3537e-07
0,0,7.21275e-08
0,0,4.42738e-08
0,0,2.96293e-08
