actual,predict,predict_prob
0,0,2.18075e-05
0,0,7.87618e-08
0,0,9.12379e-09
0,0,8.56705e-10
0,0,1.07443e-10
0,0,8.10454e-12
0,0,6.06355e-12
0,0,1.52712e-12
0,0,2.69104e-12
0,0,4.93551e-13
0,0,8.24145e-13
0,0,2.75653e-13
0,0,6.95582e-13
0,0,6.53849e-13
0,0,6.60025e-13
0,0,4.34126e-13
0,0,1.94584e-13
0,0,6.39037e-14
0,0,2.7976e-14
0,0,1.35967e-14
0,0,1.88914e-14
0,0,5.4299e-14
0,0,1.08841e-13
0,0,3.37327e-13
0,0,2.07444e-12
0,0,3.64508e-11
0,0,7.93821e-11
0,0,3.19441e-10
0,0,5.0585e-10
0,0,5.41219e-10
0,0,1.47989e-09
0,0,5.44016e-09
0,0,1.34999e-08
0,0,4.82205e-08
0,0,4.08332e-07
0,0,4.32804e-07
0,0,2.68151e-06
0,0,4.21416e-07
0,0,4.69543e-07
0,0,1.72499e-07
0,0,1.61303e-07
0,0,3.02872e-07
0,0,1.52021e-07
0,0,9.39207e-08
0,0,1.54344e-06
0,0,1.0947e-06
0,0,9.53884e-05
0,0,0.000829989
0,0,0.00372595
1,0,0.248048
0,0,2.92566e-05
0,0,4.98728e-08
0,0,2.42151e-09
0,0,2.1065e-10
0,0,2.13879e-11
0,0,3.88049e-12
0,0,1.00055e-12
0,0,3.79461e-13
0,0,1.95198e-13
0,0,1.26514e-13
0,0,1.85698e-13
0,0,3.15866e-13
0,0,4.7133e-13
0,0,5.3397e-13
0,0,4.07407e-13
0,0,2.06415e-13
0,0,9.08771e-14
0,0,4.7537e-14
0,0,3.26245e-14
0,0,2.7761e-14
0,0,3.76047e-14
0,0,5.65684e-14
0,0,2.18333e-13
0,0,1.00528e-12
0,0,5.42891e-12
0,0,2.66402e-11
0,0,9.00425e-11
0,0,2.19642e-10
0,0,4.32336e-10
0,0,8.02002e-10
0,0,2.69632e-09
0,0,9.44575e-09
0,0,5.37164e-08
0,0,1.01038e-07
0,0,1.00907e-06
0,0,1.04314e-06
0,0,4.87005e-07
0,0,1.82317e-06
0,0,8.74061e-08
0,0,9.65972e-08
0,0,4.33188e-07
0,0,1.42494e-07
0,0,1.17273e-07
0,0,4.89836e-07
0,0,2.86479e-06
0,0,6.35081e-05
0,0,9.93672e-05
0,0,0.00450858
0,0,0.0158019
1,1,0.673373
0,0,2.92566e-05
0,0,4.98728e-08
0,0,2.42151e-09
0,0,2.1065e-10
0,0,2.13879e-11
0,0,1.2965e-11
0,0,6.98149e-12
0,0,1.09393e-12
0,0,3.15343e-13
0,0,4.06567e-13
0,0,2.54552e-13
0,0,6.78068e-13
0,0,4.60061e-13
0,0,5.92382e-13
0,0,5.39827e-13
0,0,3.12397e-13
0,0,1.46606e-13
0,0,4.86155e-14
0,0,3.62493e-14
0,0,2.55441e-14
0,0,2.14311e-14
0,0,4.941e-14
0,0,9.37592e-14
0,0,1.74652e-12
0,0,6.15644e-12
0,0,1.13892e-11
0,0,5.43643e-11
0,0,1.60727e-10
0,0,3.61212e-10
0,0,1.17355e-09
0,0,2.41152e-09
0,0,4.55953e-09
0,0,3.11969e-08
0,0,7.09761e-08
0,0,5.13721e-07
0,0,7.3537e-07
0,0,8.28915e-07
0,0,1.7157e-06
0,0,1.08235e-07
0,0,5.43475e-07
0,0,6.18445e-08
0,0,1.34937e-07
0,0,8.07958e-08
0,0,4.01989e-07
0,0,3.88699e-06
0,0,3.2082e-05
0,0,6.50975e-05
0,0,0.000631962
0,0,0.00882771
1,0,0.339771
0,0,2.92566e-05
0,0,4.98728e-08
0,0,2.42151e-09
0,0,2.1065e-10
0,0,2.13879e-11
0,0,3.88049e-12
0,0,1.00055e-12
0,0,3.79461e-13
0,0,1.95198e-13
0,0,8.79808e-13
0,0,8.58994e-13
0,0,7.94937e-13
0,0,5.4006e-13
0,0,8.94046e-13
0,0,5.69553e-13
0,0,3.48724e-13
0,0,1.71956e-13
0,0,5.44328e-14
0,0,4.10673e-14
0,0,1.19404e-14
0,0,2.15889e-14
0,0,6.19359e-14
0,0,2.61216e-13
0,0,1.4033e-12
0,0,3.79289e-12
0,0,4.62488e-11
0,0,1.51219e-10
0,0,2.10625e-10
0,0,4.53217e-10
0,0,7.86645e-10
0,0,1.76871e-09
0,0,3.04823e-09
0,0,3.17732e-08
0,0,6.19177e-08
0,0,5.02e-07
0,0,7.89284e-07
0,0,1.7962e-06
0,0,2.89338e-07
0,0,6.01851e-07
0,0,1.9611e-07
0,0,4.42617e-08
0,0,2.79361e-07
0,0,1.55397e-07
0,0,2.34882e-07
0,0,7.76937e-07
0,0,2.89227e-06
0,0,0.000192618
0,0,0.003614
0,0,0.0772188
1,1,0.775087
0,0,2.92566e-05
0,0,4.98728e-08
0,0,2.42151e-09
0,0,2.1065e-10
0,0,2.13879e-11
0,0,3.88049e-12
0,0,1.00055e-12
0,0,3.79461e-13
0,0,1.95198e-13
0,0,1.26514e-13
0,0,1.85698e-13
0,0,3.15866e-13
0,0,4.7133e-13
0,0,5.3397e-13
0,0,4.07407e-13
0,0,2.06415e-13
0,0,9.08771e-14
0,0,4.7537e-14
0,0,3.26245e-14
0,0,2.7761e-14
0,0,3.76047e-14
0,0,5.65684e-14
0,0,2.18333e-13
0,0,1.00528e-12
0,0,5.42891e-12
0,0,2.66402e-11
0,0,9.00425e-11
0,0,2.19642e-10
0,0,4.32336e-10
0,0,8.02002e-10
0,0,1.91652e-09
0,0,6.33966e-09
0,0,3.5932e-08
0,0,1.28807e-07
0,0,4.08575e-07
0,0,6.707e-07
0,0,1.67725e-06
0,0,2.72026e-07
0,0,2.4008e-07
0,0,8.0261e-08
0,0,9.0398e-08
0,0,2.9452e-07
0,0,1.96828e-07
0,0,8.71844e-07
0,0,7.73665e-07
0,0,6.22401e-06
0,0,9.78176e-05
0,0,0.00699879
0,0,0.195105
1,1,0.529736
0,0,2.92566e-05
0,0,4.98728e-08
0,0,2.42151e-09
0,0,2.1065e-10
0,0,2.13879e-11
0,0,3.88049e-12
0,0,1.00055e-12
0,0,3.79461e-13
0,0,1.95198e-13
0,0,1.26514e-13
0,0,1.85698e-13
0,0,3.15866e-13
0,0,4.7133e-13
0,0,5.3397e-13
0,0,4.07407e-13
0,0,2.06415e-13
0,0,9.08771e-14
0,0,4.7537e-14
0,0,3.26245e-14
0,0,2.7761e-14
0,0,3.76047e-14
0,0,5.65684e-14
0,0,2.18333e-13
0,0,1.00528e-12
0,0,5.42891e-12
0,0,2.66402e-11
0,0,9.00425e-11
0,0,2.19642e-10
0,0,4.32336e-10
0,0,8.02002e-10
0,0,1.91652e-09
0,0,6.33966e-09
0,0,3.5932e-08
0,0,1.38256e-07
0,0,9.71558e-07
0,0,8.63485e-07
0,0,1.43986e-06
0,0,5.32482e-07
0,0,4.13731e-07
0,0,5.77101e-08
0,0,7.43185e-08
0,0,9.25002e-08
0,0,4.16084e-07
0,0,1.63151e-07
0,0,4.01741e-06
0,0,6.391e-06
0,0,0.000162055
0,0,0.00101986
0,0,0.017233
1,1,0.58127
0,0,2.92566e-05
0,0,4.98728e-08
0,0,2.42151e-09
0,0,2.1065e-10
0,0,2.13879e-11
0,0,3.88049e-12
0,0,1.00055e-12
0,0,3.79461e-13
0,0,1.95198e-13
0,0,1.26514e-13
0,0,1.85698e-13
0,0,3.15866e-13
0,0,4.7133e-13
0,0,5.3397e-13
0,0,4.07407e-13
0,0,2.06415e-13
0,0,9.08771e-14
0,0,4.7537e-14
0,0,3.26245e-14
0,0,2.7761e-14
0,0,3.76047e-14
0,0,5.65684e-14
0,0,2.18333e-13
0,0,1.00528e-12
0,0,5.42891e-12
0,0,2.66402e-11
0,0,9.00425e-11
0,0,2.19642e-10
0,0,4.32336e-10
0,0,1.03144e-09
0,0,3.29358e-09
0,0,6.71688e-09
0,0,3.10797e-08
0,0,2.0854e-07
0,0,3.28728e-07
0,0,8.85675e-07
0,0,5.06217e-07
0,0,1.0831e-06
0,0,2.3962e-07
0,0,1.91512e-07
0,0,1.09003e-07
0,0,4.24839e-07
0,0,4.67839e-08
0,0,1.90089e-06
0,0,1.36274e-06
0,0,3.57322e-06
0,0,0.000361919
0,0,0.0100824
0,0,0.0249832
1,1,0.766627
0,0,2.92566e-05
0,0,4.98728e-08
0,0,2.42151e-09
0,0,2.1065e-10
0,0,2.13879e-11
0,0,3.88049e-12
0,0,1.00055e-12
0,0,3.79461e-13
0,0,1.95198e-13
0,0,1.26514e-13
0,0,1.85698e-13
0,0,3.15866e-13
0,0,4.7133e-13
0,0,5.3397e-13
0,0,4.07407e-13
0,0,2.06415e-13
0,0,9.08771e-14
0,0,4.7537e-14
0,0,3.26245e-14
0,0,2.7761e-14
0,0,3.76047e-14
0,0,5.65684e-14
0,0,2.18333e-13
0,0,1.00528e-12
0,0,5.42891e-12
0,0,2.67257e-11
0,0,1.61011e-10
0,0,4.75663e-10
0,0,3.73644e-10
0,0,2.38575e-09
0,0,1.95335e-09
0,0,6.24899e-09
0,0,5.00132e-08
0,0,1.402e-07
0,0,4.64877e-07
0,0,1.37877e-06
0,0,9.84937e-07
0,0,6.34773e-07
0,0,1.1142e-07
0,0,3.46599e-07
0,0,3.48653e-08
0,0,1.39451e-07
0,0,2.44396e-07
0,0,4.11363e-07
0,0,2.14104e-06
0,0,5.27066e-06
0,0,0.00102798
0,0,0.00111651
0,0,0.10617
1,1,0.76826
0,0,2.92566e-05
0,0,4.98728e-08
0,0,2.42151e-09
0,0,2.1065e-10
0,0,2.13879e-11
0,0,3.88049e-12
0,0,1.00055e-12
0,0,3.79461e-13
0,0,1.95198e-13
0,0,1.26514e-13
0,0,1.85698e-13
0,0,3.15866e-13
0,0,4.7133e-13
0,0,5.3397e-13
0,0,3.83464e-13
0,0,2.24063e-13
0,0,6.86724e-14
0,0,2.08028e-14
0,0,2.86568e-14
0,0,1.20651e-14
0,0,3.76133e-14
0,0,7.36867e-14
0,0,6.77362e-13
0,0,3.05048e-12
0,0,5.30582e-12
0,0,5.27043e-11
0,0,2.21905e-10
0,0,5.31161e-10
0,0,4.2374e-10
0,0,1.11871e-09
0,0,2.49314e-09
0,0,1.35391e-08
0,0,4.47878e-08
0,0,2.22156e-07
0,0,2.95396e-07
0,0,9.11182e-07
0,0,5.41503e-07
0,0,1.54247e-06
0,0,1.56027e-07
0,0,1.40365e-07
0,0,1.2011e-07
